payment_type,order_date,total_payment_value,payment_count,avg_payment_value
voucher,2017-01-17,144.14,14,10.295714285714286
boleto,2017-01-18,972.6,7,138.94285714285715
credit_card,2017-01-18,3304.69,23,143.68217391304347
debit_card,2017-01-18,139.59,1,139.59
voucher,2017-01-18,266.5,4,66.625
boleto,2017-01-19,405.31999999999994,7,57.902857142857144
credit_card,2017-01-19,3516.5299999999997,19,185.08052631578948
debit_card,2017-01-19,218.31,3,72.77
boleto,2017-01-20,883.20999999999992,6,147.20166666666665
credit_card,2017-01-20,3493.2300000000005,21,166.34428571428572
voucher,2017-01-20,321.63,3,107.21
boleto,2017-01-21,318.83,4,79.70750000000001
credit_card,2017-01-21,2775.9300000000003,20,138.79649999999998
boleto,2017-01-22,364.27000000000004,6,60.711666666666666
credit_card,2017-01-22,3915.9500000000003,25,156.638
boleto,2017-01-23,1226.5,8,153.3125
credit_card,2017-01-23,5823.15,31,187.8435483870968
voucher,2017-01-23,504.24,3,168.07999999999998
boleto,2017-01-24,1091.5100000000002,8,136.43875
credit_card,2017-01-24,5640.39,32,176.26218749999998
voucher,2017-01-24,62.6,1,62.6
boleto,2017-01-25,1155.8000000000002,13,88.907692307692315
credit_card,2017-01-25,8794.869999999999,48,183.22645833333331
debit_card,2017-01-25,138.49,1,138.49
voucher,2017-01-25,345.15,4,86.2875
boleto,2017-01-26,3424.76,15,228.31733333333335
credit_card,2017-01-26,11468.37,70,163.83385714285714
debit_card,2017-01-26,54.51,1,54.51
voucher,2017-01-26,244.32,4,61.08
boleto,2017-01-27,2479.48,21,118.0704761904762
credit_card,2017-01-27,9893.77,40,247.34425000000007
voucher,2017-01-27,530.88,3,176.95999999999998
boleto,2017-01-28,744.36,7,106.33714285714287
credit_card,2017-01-28,4781.91,20,239.09550000000002
voucher,2017-01-28,383.71,13,29.516153846153848
boleto,2017-01-29,645.79,5,129.15800000000002
credit_card,2017-01-29,6426.9699999999993,29,221.61965517241381
debit_card,2017-01-29,87.9,1,87.9
boleto,2017-01-30,2762.67,13,212.51307692307694
credit_card,2017-01-30,9232.3799999999974,39,236.72769230769228
voucher,2017-01-30,192.85000000000002,3,64.283333333333331
boleto,2017-01-31,3545.2800000000007,24,147.72
credit_card,2017-01-31,9089.5200000000023,45,201.98933333333329
voucher,2017-01-31,386.93,4,96.7325
boleto,2017-02-01,3646.64,17,214.50823529411764
credit_card,2017-02-01,6439.3300000000008,56,114.9880357142857
voucher,2017-02-01,225.01999999999998,4,56.255
boleto,2017-02-02,3550.3,20,177.515
credit_card,2017-02-02,7082.2300000000005,48,147.54645833333333
debit_card,2017-02-02,44.01,1,44.01
boleto,2017-02-03,4387.38,16,274.21124999999995
credit_card,2017-02-03,7079.7200000000012,44,160.9027272727273
voucher,2017-02-03,172.09,3,57.363333333333337
boleto,2017-02-04,1101.57,12,91.797500000000014
credit_card,2017-02-04,14485.610000000002,55,263.37472727272728
voucher,2017-02-04,159.99,4,39.9975
boleto,2017-02-05,2101.91,16,131.36937500000002
credit_card,2017-02-05,8001.329999999999,59,135.61576271186439
voucher,2017-02-05,50.0,1,50.0
boleto,2017-02-06,2817.89,23,122.5169565217391
credit_card,2017-02-06,8353.86,61,136.94852459016394
debit_card,2017-02-06,416.96,1,416.96
voucher,2017-02-06,37.29,1,37.29
boleto,2017-02-07,3670.35,30,122.345
credit_card,2017-02-07,12324.43,78,158.00551282051282
debit_card,2017-02-07,80.75,1,80.75
voucher,2017-02-07,551.68000000000006,15,36.778666666666666
boleto,2017-02-08,4823.8799999999992,32,150.74625
credit_card,2017-02-08,8847.3199999999979,60,147.45533333333336
debit_card,2017-02-08,138.47,2,69.235
voucher,2017-02-08,490.29999999999995,6,81.716666666666669
boleto,2017-02-09,1328.4299999999998,12,110.70249999999999
credit_card,2017-02-09,9183.6899999999987,65,141.28753846153847
debit_card,2017-02-09,153.72,1,153.72
voucher,2017-02-09,178.33,10,17.833
boleto,2017-02-10,1121.54,8,140.1925
credit_card,2017-02-10,14253.91,58,245.75706896551719
voucher,2017-02-10,298.64,2,149.32
boleto,2017-02-11,899.18999999999994,11,81.74454545454546
credit_card,2017-02-11,4693.81,36,130.38361111111107
voucher,2017-02-11,55.370000000000005,2,27.685000000000002
boleto,2017-02-12,2986.08,16,186.63
credit_card,2017-02-12,13504.680000000002,47,287.33361702127655
debit_card,2017-02-12,72.63,1,72.63
voucher,2017-02-12,118.9,4,29.725
boleto,2017-02-13,2446.8399999999997,20,122.342
credit_card,2017-02-13,10232.69,57,179.52087719298248
debit_card,2017-02-13,97.52,1,97.52
voucher,2017-02-13,315.03999999999996,2,157.51999999999998
boleto,2017-02-14,2196.79,13,168.98384615384612
credit_card,2017-02-14,12859.839999999997,64,200.935
voucher,2017-02-14,252.45,3,84.149999999999991
boleto,2017-02-15,1627.87,13,125.22076923076924
credit_card,2017-02-15,6504.0200000000023,48,135.50041666666667
voucher,2017-02-15,194.51,4,48.6275
boleto,2017-02-16,1150.43,8,143.80375
credit_card,2017-02-16,6586.7799999999988,47,140.14425531914893
voucher,2017-02-16,66.509999999999991,2,33.254999999999995
boleto,2017-02-17,1465.42,8,183.1775
credit_card,2017-02-17,6493.7499999999991,37,175.50675675675677
voucher,2017-02-17,134.4,4,33.6
boleto,2017-02-18,1917.6999999999998,10,191.77
credit_card,2017-02-18,6738.8399999999983,44,153.15545454545457
debit_card,2017-02-18,96.65,1,96.65
voucher,2017-02-18,555.1099999999999,2,277.555
boleto,2017-02-19,1004.8899999999999,10,100.48900000000002
credit_card,2017-02-19,3241.92,29,111.7903448275862
voucher,2017-02-19,230.83999999999997,7,32.977142857142859
boleto,2017-02-20,3370.34,22,153.19727272727272
credit_card,2017-02-20,5470.3200000000006,37,147.8464864864865
voucher,2017-02-20,316.64,5,63.328
boleto,2017-02-21,1510.59,11,137.32636363636362
credit_card,2017-02-21,7678.7500000000018,28,274.24107142857139
debit_card,2017-02-21,83.12,1,83.12
voucher,2017-02-21,61.0,3,20.333333333333332
boleto,2017-02-22,2213.55,13,170.2730769230769
credit_card,2017-02-22,6943.9,49,141.71224489795918
voucher,2017-02-22,235.92000000000002,6,39.32
boleto,2017-02-23,1924.96,15,128.33066666666667
credit_card,2017-02-23,6354.6799999999994,43,147.78325581395347
debit_card,2017-02-23,115.34,1,115.34
voucher,2017-02-23,176.88,2,88.44
boleto,2017-02-24,1091.99,13,83.999230769230778
credit_card,2017-02-24,6273.2,51,123.00392156862746
voucher,2017-02-24,617.81999999999994,16,38.61375
boleto,2017-02-25,1505.72,10,150.572
credit_card,2017-02-25,3236.7599999999998,31,104.41161290322579
debit_card,2017-02-25,134.91,1,134.91
voucher,2017-02-25,248.79,5,49.757999999999996
boleto,2017-02-26,467.54,7,66.791428571428568
credit_card,2017-02-26,6115.9600000000019,40,152.899
boleto,2017-02-27,326.08,3,108.69333333333333
credit_card,2017-02-27,6086.82,39,156.0723076923077
voucher,2017-02-27,423.87,6,70.645
boleto,2017-02-28,820.86999999999989,9,91.207777777777778
credit_card,2017-02-28,11685.41,45,259.67577777777774
debit_card,2017-02-28,76.24,1,76.24
boleto,2017-03-01,6098.0599999999995,35,174.23028571428571
credit_card,2017-03-01,12534.079999999998,62,202.16258064516123
voucher,2017-03-01,291.03,8,36.37875
boleto,2017-03-02,1508.87,13,116.06692307692308
credit_card,2017-03-02,11438.470000000003,56,204.25839285714289
debit_card,2017-03-02,33.1,1,33.1
voucher,2017-03-02,165.92,4,41.480000000000004
boleto,2017-03-03,3435.75,15,229.05
credit_card,2017-03-03,10679.65,59,181.01101694915255
voucher,2017-03-03,39.31,1,39.31
boleto,2017-03-04,2319.01,16,144.938125
credit_card,2017-03-04,12998.36,61,213.08786885245902
debit_card,2017-03-04,82.87,1,82.87
voucher,2017-03-04,133.45,9,14.827777777777778
boleto,2017-03-05,642.92000000000007,7,91.84571428571428
credit_card,2017-03-05,7658.8599999999988,65,117.82861538461536
voucher,2017-03-05,487.36,11,44.305454545454545
boleto,2017-03-06,2399.3,24,99.970833333333331
credit_card,2017-03-06,10827.619999999999,80,135.34525
debit_card,2017-03-06,95.22,1,95.22
voucher,2017-03-06,192.98,4,48.245
boleto,2017-03-07,2064.97,16,129.060625
credit_card,2017-03-07,11501.119999999997,64,179.705
debit_card,2017-03-07,109.04,1,109.04
voucher,2017-03-07,180.24,4,45.06
boleto,2017-03-08,2133.6899999999996,20,106.68449999999999
credit_card,2017-03-08,13815.59,56,246.70696428571426
debit_card,2017-03-08,536.87,2,268.435
voucher,2017-03-08,283.51,4,70.8775
boleto,2017-03-09,3908.9599999999996,25,156.3584
credit_card,2017-03-09,9198.1899999999987,67,137.28641791044777
debit_card,2017-03-09,56.52,1,56.52
voucher,2017-03-09,664.66000000000008,13,51.127692307692307
boleto,2017-03-10,3564.0400000000004,22,162.00181818181818
credit_card,2017-03-10,10496.599999999999,63,166.61269841269842
voucher,2017-03-10,458.28,9,50.92
boleto,2017-03-11,2201.78,11,200.16181818181815
credit_card,2017-03-11,9833.12,59,166.66305084745764
voucher,2017-03-11,469.07000000000005,15,31.271333333333335
boleto,2017-03-12,1372.5500000000002,13,105.58076923076923
credit_card,2017-03-12,6424.670000000001,50,128.4934
voucher,2017-03-12,55.96,3,18.653333333333332
boleto,2017-03-13,2600.57,25,104.02280000000002
credit_card,2017-03-13,16068.99,82,195.96329268292683
debit_card,2017-03-13,324.58,3,108.19333333333333
voucher,2017-03-13,311.92,8,38.99
boleto,2017-03-14,3547.1599999999994,27,131.37629629629632
credit_card,2017-03-14,12389.83,67,184.92283582089553
voucher,2017-03-14,605.99,11,55.09
boleto,2017-03-15,2934.6299999999997,21,139.74428571428572
credit_card,2017-03-15,13864.920000000004,81,171.1718518518519
debit_card,2017-03-15,79.57,2,39.785
voucher,2017-03-15,485.78999999999996,21,23.132857142857141
boleto,2017-03-16,3684.27,23,160.18565217391304
credit_card,2017-03-16,12930.5,79,163.67721518987341
debit_card,2017-03-16,38.95,1,38.95
boleto,2017-03-17,1551.25,14,110.80357142857143
credit_card,2017-03-17,11487.409999999998,48,239.32104166666667
debit_card,2017-03-17,316.32,3,105.44
voucher,2017-03-17,256.3,3,85.433333333333337
boleto,2017-03-18,2475.7699999999995,20,123.7885
credit_card,2017-03-18,14061.780000000002,50,281.2356
voucher,2017-03-18,1405.52,8,175.69
boleto,2017-03-19,896.93000000000006,7,128.13285714285712
credit_card,2017-03-19,6807.2500000000009,49,138.92346938775509
voucher,2017-03-19,23.9,1,23.9
boleto,2017-03-20,3290.2900000000004,30,109.67633333333335
credit_card,2017-03-20,16616.55,89,186.70280898876405
voucher,2017-03-20,108.09,1,108.09
boleto,2017-03-21,2890.84,26,111.18615384615384
credit_card,2017-03-21,11711.080000000002,70,167.30114285714282
voucher,2017-03-21,335.59,6,55.931666666666665
boleto,2017-03-22,2171.73,19,114.30157894736841
credit_card,2017-03-22,13577.9,82,165.58414634146339
debit_card,2017-03-22,409.25,3,136.41666666666666
voucher,2017-03-22,231.26,7,33.037142857142854
boleto,2017-03-23,4387.2099999999991,26,168.73884615384614
credit_card,2017-03-23,17927.110000000004,80,224.088875
debit_card,2017-03-23,57.51,1,57.51
voucher,2017-03-23,541.54,12,45.128333333333337
boleto,2017-03-24,3529.8399999999997,22,160.44727272727272
credit_card,2017-03-24,9711.130000000001,54,179.83574074074076
debit_card,2017-03-24,95.22,1,95.22
voucher,2017-03-24,50.72,3,16.906666666666666
boleto,2017-03-25,1865.97,11,169.63363636363636
credit_card,2017-03-25,9041.3599999999988,63,143.51365079365081
debit_card,2017-03-25,82.48,1,82.48
voucher,2017-03-25,261.92999999999995,5,52.386
boleto,2017-03-26,1543.73,12,128.64416666666668
credit_card,2017-03-26,5296.83,47,112.69851063829786
debit_card,2017-03-26,170.41,2,85.205
voucher,2017-03-26,631.05,9,70.11666666666666
boleto,2017-03-27,5584.1,23,242.78695652173911
credit_card,2017-03-27,13980.14,85,164.47223529411764
debit_card,2017-03-27,795.08,4,198.76999999999998
voucher,2017-03-27,189.97,3,63.323333333333331
boleto,2017-03-28,3055.27,26,117.51038461538461
credit_card,2017-03-28,11406.109999999999,77,148.13129870129868
voucher,2017-03-28,377.2,5,75.44
boleto,2017-03-29,2095.26,16,130.95375
credit_card,2017-03-29,8006.489999999998,56,142.97303571428574
debit_card,2017-03-29,35.18,1,35.18
voucher,2017-03-29,72.18,1,72.18
boleto,2017-03-30,1318.15,13,101.39615384615385
credit_card,2017-03-30,9912.6100000000024,60,165.21016666666668
voucher,2017-03-30,204.24,9,22.693333333333335
boleto,2017-03-31,1087.66,12,90.638333333333321
credit_card,2017-03-31,12284.619999999997,55,223.35672727272731
debit_card,2017-03-31,274.63,2,137.315
voucher,2017-03-31,106.37,2,53.185
boleto,2017-04-01,3267.6000000000004,17,192.21176470588233
credit_card,2017-04-01,17071.0,51,334.7254901960784
voucher,2017-04-01,236.07999999999998,2,118.03999999999999
boleto,2017-04-02,1954.5,10,195.45000000000002
credit_card,2017-04-02,8508.0299999999988,55,154.69145454545455
voucher,2017-04-02,146.09,2,73.045
boleto,2017-04-03,4104.97,20,205.2485
credit_card,2017-04-03,6503.6699999999983,51,127.5229411764706
debit_card,2017-04-03,63.12,1,63.12
voucher,2017-04-03,105.13999999999999,9,11.682222222222222
boleto,2017-04-04,2784.6599999999994,23,121.07217391304349
credit_card,2017-04-04,10654.36,73,145.95013698630143
voucher,2017-04-04,713.97,8,89.24625
boleto,2017-04-05,2607.7300000000005,18,144.8738888888889
credit_card,2017-04-05,17773.34,77,230.82259740259747
voucher,2017-04-05,393.48,7,56.21142857142857
boleto,2017-04-06,8696.7100000000009,22,395.305
credit_card,2017-04-06,17571.72,72,244.05166666666662
debit_card,2017-04-06,101.01,1,101.01
voucher,2017-04-06,494.14,5,98.828
boleto,2017-04-07,3270.38,18,181.68777777777777
credit_card,2017-04-07,11102.320000000002,66,168.2169696969697
voucher,2017-04-07,671.02,6,111.83666666666667
boleto,2017-04-08,1489.38,10,148.93800000000002
credit_card,2017-04-08,7903.7500000000027,56,141.13839285714286
debit_card,2017-04-08,60.33,1,60.33
voucher,2017-04-08,837.28,11,76.116363636363644
boleto,2017-04-09,952.33,10,95.233
credit_card,2017-04-09,8294.119999999999,59,140.57830508474578
debit_card,2017-04-09,99.32,2,49.66
voucher,2017-04-09,343.64,2,171.82
boleto,2017-04-10,2223.78,18,123.54333333333332
credit_card,2017-04-10,9808.5700000000015,67,146.39656716417909
debit_card,2017-04-10,59.42,1,59.42
voucher,2017-04-10,1400.33,1,1400.33
boleto,2017-04-11,1607.97,15,107.19800000000001
credit_card,2017-04-11,8040.4600000000019,61,131.81081967213115
debit_card,2017-04-11,43.72,1,43.72
voucher,2017-04-11,185.94,12,15.495
boleto,2017-04-12,2043.65,16,127.72812499999999
credit_card,2017-04-12,6948.8000000000011,42,165.44761904761904
debit_card,2017-04-12,82.97,1,82.97
voucher,2017-04-12,332.52,5,66.504
boleto,2017-04-13,1274.38,5,254.876
credit_card,2017-04-13,9819.72,53,185.27773584905663
voucher,2017-04-13,122.01,3,40.67
boleto,2017-04-14,656.31,6,109.38499999999999
credit_card,2017-04-14,9757.6999999999989,46,212.1239130434783
debit_card,2017-04-14,101.89,2,50.945
boleto,2017-04-15,1564.63,7,223.51857142857142
credit_card,2017-04-15,7698.0899999999992,44,174.95659090909086
debit_card,2017-04-15,37.86,1,37.86
voucher,2017-04-15,90.98,2,45.49
boleto,2017-04-16,946.06,8,118.2575
credit_card,2017-04-16,5215.58,38,137.25210526315789
debit_card,2017-04-16,115.9,1,115.9
voucher,2017-04-16,254.67000000000002,3,84.89
boleto,2017-04-17,1929.7299999999996,13,148.44076923076923
credit_card,2017-04-17,8177.1900000000014,49,166.88142857142856
debit_card,2017-04-17,347.89,1,347.89
voucher,2017-04-17,310.76,5,62.152
boleto,2017-04-18,1585.1599999999999,13,121.93538461538463
credit_card,2017-04-18,21299.47,57,373.67491228070173
debit_card,2017-04-18,393.46000000000004,3,131.15333333333334
voucher,2017-04-18,155.77,7,22.252857142857142
boleto,2017-04-19,3569.9200000000005,30,118.99733333333333
credit_card,2017-04-19,10104.24,64,157.87875
debit_card,2017-04-19,40.95,1,40.95
voucher,2017-04-19,226.14000000000001,6,37.69
boleto,2017-04-20,3949.52,23,171.71826086956523
credit_card,2017-04-20,10994.680000000002,73,150.61205479452059
voucher,2017-04-20,1111.8,39,28.507692307692309
boleto,2017-04-21,1996.71,12,166.39249999999998
credit_card,2017-04-21,6986.87,50,139.7374
debit_card,2017-04-21,334.62,2,167.31
voucher,2017-04-21,844.4,17,49.670588235294119
boleto,2017-04-22,2949.89,16,184.368125
credit_card,2017-04-22,11640.67,68,171.18632352941174
debit_card,2017-04-22,221.76,1,221.76
voucher,2017-04-22,192.73999999999998,5,38.547999999999995
boleto,2017-04-23,2968.7,28,106.02499999999999
credit_card,2017-04-23,8568.18,59,145.22338983050847
voucher,2017-04-23,303.03,3,101.01
boleto,2017-04-24,5645.09,27,209.07740740740738
credit_card,2017-04-24,11527.49,85,135.61752941176471
debit_card,2017-04-24,135.24,1,135.24
voucher,2017-04-24,403.75,14,28.839285714285715
boleto,2017-04-25,4569.66,30,152.32199999999997
credit_card,2017-04-25,12059.660000000002,76,158.67973684210531
debit_card,2017-04-25,395.18,3,131.72666666666666
voucher,2017-04-25,151.85,4,37.9625
boleto,2017-04-26,2080.3900000000003,24,86.682916666666671
credit_card,2017-04-26,16056.570000000003,98,163.84255102040814
voucher,2017-04-26,559.13,8,69.89125
boleto,2017-04-27,2531.26,18,140.62555555555556
credit_card,2017-04-27,9749.4999999999982,60,162.49166666666665
debit_card,2017-04-27,20.82,1,20.82
voucher,2017-04-27,153.51999999999998,5,30.704
boleto,2017-04-28,5615.91,19,295.57421052631577
credit_card,2017-04-28,11718.960000000001,76,154.19684210526319
debit_card,2017-04-28,134.54,2,67.27
voucher,2017-04-28,593.88,6,98.97999999999999
boleto,2017-04-29,1260.94,9,140.10444444444445
credit_card,2017-04-29,12451.289999999999,64,194.55140625
voucher,2017-04-29,123.05000000000001,3,41.016666666666666
boleto,2017-04-30,1209.3200000000002,11,109.93818181818182
credit_card,2017-04-30,8081.72,56,144.31642857142856
voucher,2017-04-30,145.96,2,72.98
boleto,2017-05-01,1990.7999999999997,20,99.539999999999992
credit_card,2017-05-01,12686.070000000005,95,133.53757894736842
debit_card,2017-05-01,29.95,1,29.95
voucher,2017-05-01,162.85,12,13.570833333333333
boleto,2017-05-02,4327.4,30,144.24666666666667
credit_card,2017-05-02,16122.180000000004,101,159.62554455445542
voucher,2017-05-02,223.5,5,44.699999999999996
boleto,2017-05-03,2210.43,24,92.10125
credit_card,2017-05-03,9377.5699999999961,76,123.38907894736845
debit_card,2017-05-03,47.01,1,47.01
voucher,2017-05-03,557.33,9,61.925555555555547
boleto,2017-05-04,3517.3200000000006,28,125.61857142857143
credit_card,2017-05-04,11928.589999999998,78,152.93064102564102
debit_card,2017-05-04,333.44,2,166.72
voucher,2017-05-04,122.37,1,122.37
boleto,2017-05-05,4117.49,26,158.365
credit_card,2017-05-05,11487.200000000004,81,141.81728395061728
voucher,2017-05-05,979.89,14,69.992142857142852
boleto,2017-05-06,1321.0,12,110.08333333333333
credit_card,2017-05-06,17727.090000000004,98,180.88867346938781
debit_card,2017-05-06,111.2,1,111.2
voucher,2017-05-06,68.259999999999991,2,34.129999999999995
boleto,2017-05-07,2090.85,18,116.15833333333333
credit_card,2017-05-07,17969.22,89,201.90134831460671
debit_card,2017-05-07,148.22,1,148.22
voucher,2017-05-07,259.69,7,37.098571428571432
boleto,2017-05-08,3345.78,20,167.289
credit_card,2017-05-08,15432.6,102,151.3
voucher,2017-05-08,416.29999999999995,6,69.383333333333326
boleto,2017-05-09,11199.43,38,294.72184210526319
credit_card,2017-05-09,12550.85,86,145.9401162790698
debit_card,2017-05-09,247.48000000000002,4,61.870000000000005
voucher,2017-05-09,247.29000000000002,7,35.327142857142853
boleto,2017-05-10,7610.43,32,237.8259375
credit_card,2017-05-10,15365.330000000002,84,182.92059523809522
debit_card,2017-05-10,42.78,1,42.78
voucher,2017-05-10,399.86,3,133.28666666666666
boleto,2017-05-11,5731.43,23,249.19260869565215
credit_card,2017-05-11,14748.01,100,147.4801
voucher,2017-05-11,724.6,11,65.872727272727275
boleto,2017-05-12,3412.1499999999996,29,117.66034482758621
credit_card,2017-05-12,11572.83,85,136.15094117647055
debit_card,2017-05-12,92.09,2,46.045
voucher,2017-05-12,237.39,22,10.790454545454546
boleto,2017-05-13,1938.75,13,149.13461538461539
credit_card,2017-05-13,8379.91,55,152.362
debit_card,2017-05-13,250.51,3,83.50333333333333
voucher,2017-05-13,106.5,7,15.214285714285714
boleto,2017-05-14,1467.97,17,86.351176470588243
credit_card,2017-05-14,14894.35,91,163.67417582417585
debit_card,2017-05-14,188.45,1,188.45
voucher,2017-05-14,1001.0600000000001,7,143.00857142857143
boleto,2017-05-15,8753.12,51,171.62980392156862
credit_card,2017-05-15,11944.0,101,118.25742574257423
debit_card,2017-05-15,196.92,1,196.92
voucher,2017-05-15,1012.97,25,40.5188
boleto,2017-05-16,4304.01,28,153.71464285714285
credit_card,2017-05-16,19481.659999999996,123,158.38747967479674
voucher,2017-05-16,749.9,14,53.564285714285717
boleto,2017-05-17,3884.4800000000005,32,121.39
credit_card,2017-05-17,17173.550000000003,108,159.0143518518519
debit_card,2017-05-17,49.53,1,49.53
voucher,2017-05-17,288.77,17,16.986470588235292
boleto,2017-05-18,4245.0,25,169.8
credit_card,2017-05-18,16200.139999999998,96,168.75145833333343
debit_card,2017-05-18,94.3,1,94.3
voucher,2017-05-18,322.35,6,53.725
boleto,2017-05-19,3224.4699999999993,28,115.15964285714286
credit_card,2017-05-19,17469.96,115,151.91269565217388
voucher,2017-05-19,830.66,13,63.896923076923073
boleto,2017-05-20,2257.73,14,161.26642857142858
credit_card,2017-05-20,9417.78,58,162.37551724137927
voucher,2017-05-20,688.66,4,172.165
boleto,2017-05-21,4639.3099999999995,30,154.64366666666666
credit_card,2017-05-21,15299.219999999998,113,135.39132743362831
debit_card,2017-05-21,143.83,1,143.83
voucher,2017-05-21,286.16999999999996,7,40.881428571428572
boleto,2017-05-22,5985.0,26,230.19230769230768
credit_card,2017-05-22,21496.650000000005,114,188.56710526315788
debit_card,2017-05-22,544.11,4,136.0275
voucher,2017-05-22,880.83999999999992,12,73.403333333333336
boleto,2017-05-23,2378.67,21,113.27000000000001
credit_card,2017-05-23,17832.200000000004,104,171.46346153846147
voucher,2017-05-23,411.59999999999997,5,82.32
boleto,2017-05-24,10758.15,37,290.76081081081082
credit_card,2017-05-24,14937.669999999996,99,150.88555555555556
debit_card,2017-05-24,175.28,1,175.28
voucher,2017-05-24,1120.85,10,112.08500000000001
boleto,2017-05-25,3075.3399999999997,25,123.0136
credit_card,2017-05-25,14095.689999999997,82,171.89865853658537
voucher,2017-05-25,1249.63,11,113.60272727272729
boleto,2017-05-26,2532.59,12,211.04916666666668
credit_card,2017-05-26,9990.2200000000012,67,149.10776119402985
debit_card,2017-05-26,65.0,1,65.0
voucher,2017-05-26,92.710000000000008,3,30.903333333333332
boleto,2017-05-27,2859.68,14,204.26285714285714
credit_card,2017-05-27,13172.67,67,196.60701492537311
voucher,2017-05-27,301.19,5,60.238
boleto,2017-05-28,2110.76,18,117.26444444444444
credit_card,2017-05-28,8657.4299999999985,79,109.58772151898737
debit_card,2017-05-28,29.69,1,29.69
voucher,2017-05-28,322.83000000000004,5,64.566
boleto,2017-05-29,3271.11,31,105.51967741935484
credit_card,2017-05-29,17525.310000000005,125,140.20247999999998
debit_card,2017-05-29,233.62,2,116.81
voucher,2017-05-29,1195.05,22,54.320454545454545
boleto,2017-05-30,4793.75,25,191.75000000000003
credit_card,2017-05-30,11944.409999999996,80,149.30512500000003
voucher,2017-05-30,336.2,11,30.563636363636363
boleto,2017-05-31,5298.5,25,211.94
credit_card,2017-05-31,18166.95,101,179.870792079208
voucher,2017-05-31,597.93,6,99.655
boleto,2017-06-01,7725.3000000000011,32,241.41562499999998
credit_card,2017-06-01,13475.68,90,149.7297777777778
voucher,2017-06-01,580.39999999999986,14,41.457142857142856
boleto,2017-06-02,3340.58,23,145.24260869565217
credit_card,2017-06-02,17645.439999999995,103,171.31495145631064
voucher,2017-06-02,783.36,12,65.28
boleto,2017-06-03,2411.2000000000003,13,185.47692307692307
credit_card,2017-06-03,9289.98,71,130.84478873239436
debit_card,2017-06-03,62.45,2,31.225
voucher,2017-06-03,501.80999999999995,7,71.687142857142845
boleto,2017-06-04,1431.45,19,75.339473684210532
credit_card,2017-06-04,13842.119999999999,80,173.0265
debit_card,2017-06-04,310.23,2,155.115
voucher,2017-06-04,445.69,6,74.281666666666666
boleto,2017-06-05,5513.48,31,177.85419354838709
credit_card,2017-06-05,21187.51,112,189.17419642857141
debit_card,2017-06-05,58.58,1,58.58
voucher,2017-06-05,640.97,15,42.731333333333339
